week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1980-09-08/1980-09-14,22.836309523809522,86.26785714285714,20.26666666666667,7.6,7.6,0,1010.6416666666667,945.2720238095237,65.88690476190476,55.30357142857143,21.327380952380956,13.773809523809522,0.42232142857142857,11.494047619047619,225
1980-09-15/1980-09-21,23.179166666666667,86.14285714285714,20.52440476190476,13.600000000000001,13.600000000000001,0,1010.4779761904763,945.1934523809523,73.06547619047619,56.6845238095238,16.946428571428573,51.64880952380952,0.4505952380952381,9.567857142857145,259
1980-09-22/1980-09-28,24.761309523809523,83.64880952380952,21.514880952380956,21.299999999999997,21.299999999999997,0,1013.2315476190477,948.1005952380953,35.55952380952381,25.363095238095237,15.827380952380953,10.875,0.595952380952381,5.582142857142857,22
1980-09-29/1980-10-05,24.491666666666667,84.24404761904762,21.369642857142857,13.5,13.5,0,1010.7232142857143,945.7005952380953,42.1845238095238,28.113095238095237,22.809523809523807,10.982142857142858,0.5650000000000001,5.576190476190476,270
1980-10-06/1980-10-12,26.726785714285715,56.523809523809526,16.570238095238093,0.0,0.0,0,1011.7220238095239,947.092261904762,5.845238095238095,0.005952380952380943,9.458333333333332,0.4880952380952381,1.7091666666666667,6.723214285714286,6
1980-10-13/1980-10-19,26.511309523809523,50.61904761904761,14.045833333333333,0.0,0.0,0,1011.260119047619,946.6142857142856,13.005952380952381,2.5654761904761902,2.8035714285714284,30.02976190476191,1.9526190476190475,7.191071428571428,2
1980-10-20/1980-10-26,24.117261904761904,57.86904761904761,13.554166666666665,0.0,0.0,0,1013.2547619047618,947.9761904761905,12.458333333333332,9.232142857142858,0.35119047619047616,13.136904761904761,1.5338690476190475,8.33154761904762,29
1980-10-27/1980-11-02,25.36785714285714,44.523809523809526,11.233928571428569,0.0,0.0,0,1015.7892857142858,950.6113095238095,21.25,1.6071428571428572,32.95833333333333,0.13690476190476192,1.9779166666666668,6.627976190476191,9
1980-11-03/1980-11-09,24.52321428571429,40.60714285714285,9.362499999999999,0.0,0.0,0,1014.7589285714286,949.4714285714286,8.434523809523808,0.0,13.559523809523808,0.9583333333333334,1.9998809523809524,7.236309523809524,9
1980-11-10/1980-11-16,24.308333333333334,56.410714285714285,14.052380952380952,9.2,9.2,0,1013.4940476190476,948.2511904761905,39.875,1.1488095238095237,32.898809523809526,63.666666666666664,1.4349404761904763,12.310714285714285,67
