date,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
2000-01-29,20.525000000000002,51.916666666666664,9.691666666666666,0.0,0.0,0,1017.0041666666666,950.7125,0.0,0.0,0.0,0.0,1.305,8.1875,80
2000-01-30,21.116666666666667,49.75,9.204166666666667,0.0,0.0,0,1016.3666666666667,950.2375000000001,0.0,0.0,0.0,0.0,1.4487500000000002,4.758333333333334,90
2000-01-31,21.370833333333334,50.5,9.5875,0.0,0.0,0,1014.4375,948.4875000000001,2.7916666666666665,0.0,0.0,9.416666666666666,1.4783333333333333,8.866666666666667,234
2000-02-01,18.508333333333333,64.25,10.674999999999999,0.0,0.0,0,1012.5124999999999,946.0791666666668,10.333333333333334,4.458333333333333,0.0,21.208333333333332,0.9141666666666667,10.091666666666667,255
2000-02-02,18.358333333333334,73.875,12.704166666666666,0.0,0.0,0,1013.8625000000001,947.3166666666666,14.583333333333334,13.875,0.0,6.833333333333333,0.7154166666666666,8.158333333333333,253
2000-02-03,18.533333333333335,71.16666666666667,12.35,0.0,0.0,0,1015.4666666666667,948.8458333333333,23.791666666666668,20.791666666666668,0.0,17.0,0.7570833333333334,5.3,279
2000-02-04,19.866666666666667,64.45833333333333,11.225,0.0,0.0,0,1013.3833333333333,947.1791666666667,12.25,5.041666666666667,0.0,26.5,1.0729166666666667,7.204166666666667,252
2000-02-05,18.295833333333334,72.79166666666667,12.6875,0.1,0.1,0,1012.4541666666668,945.9833333333332,32.166666666666664,25.541666666666668,0.0,34.583333333333336,0.6766666666666666,9.258333333333333,268
2000-02-06,18.941666666666666,69.70833333333333,12.629166666666668,0.0,0.0,0,1012.9875000000001,946.6208333333334,14.75,16.333333333333332,0.16666666666666666,0.0,0.78125,4.858333333333333,281
2000-02-07,19.5,52.791666666666664,8.416666666666666,0.0,0.0,0,1012.1625,945.9583333333334,0.25,0.16666666666666666,0.125,0.0,1.24,6.0,45
